date,value
24:00.0,12
25:00.0,1
25:00.0,8
26:00.0,2
26:00.0,2
26:00.0,2
27:00.0,1
27:00.0,2
27:00.0,2
28:00.0,1
28:00.0,1
28:00.0,1
29:00.0,1
29:00.0,2
29:00.0,1
30:00.0,2
30:00.0,1
30:00.0,3
31:00.0,4
31:00.0,4
31:00.0,1
32:00.0,1
32:00.0,1
33:00.0,1
33:00.0,1
33:00.0,1
34:00.0,2
34:00.0,1
34:00.0,1
35:00.0,1
35:00.0,1
35:00.0,2
36:00.0,2
36:00.0,2
36:00.0,1
37:00.0,5
37:00.0,3
37:00.0,2
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,2
39:00.0,6
40:00.0,2
40:00.0,5
40:00.0,3
41:00.0,3
41:00.0,1
41:00.0,1
42:00.0,1
42:00.0,1
42:00.0,1
43:00.0,1
43:00.0,4
43:00.0,1
44:00.0,10
44:00.0,1
44:00.0,1
45:00.0,1
45:00.0,1
45:00.0,1
46:00.0,1
46:00.0,1
46:00.0,1
47:00.0,5
47:00.0,1
47:00.0,2
48:00.0,2
48:00.0,2
48:00.0,12
49:00.0,1
49:00.0,11
49:00.0,1
50:00.0,3
50:00.0,1
51:00.0,2
51:00.0,1
51:00.0,1
52:00.0,1
52:00.0,1
52:00.0,3
53:00.0,1
53:00.0,3
53:00.0,1
54:00.0,3
54:00.0,1
54:00.0,1
55:00.0,1
55:00.0,1
56:00.0,1
56:00.0,4
56:00.0,1
57:00.0,8
57:00.0,1
58:00.0,14
58:00.0,1
59:00.0,23
59:00.0,1
59:00.0,1
00:00.0,1
00:00.0,2
00:00.0,16
01:00.0,1
01:00.0,13
01:00.0,1
02:00.0,14
02:00.0,1
03:00.0,10
03:00.0,1
03:00.0,1
04:00.0,1
04:00.0,1
04:00.0,9
05:00.0,1
05:00.0,11
05:00.0,1
06:00.0,11
06:00.0,1
07:00.0,13
07:00.0,1
07:00.0,1
08:00.0,1
08:00.0,1
08:00.0,16
09:00.0,1
09:00.0,13
09:00.0,1
10:00.0,11
10:00.0,1
10:00.0,1
11:00.0,1
11:00.0,1
11:00.0,12
12:00.0,1
12:00.0,12
12:00.0,4
13:00.0,16
13:00.0,4
14:00.0,16
14:00.0,2
14:00.0,4
15:00.0,1
15:00.0,1
15:00.0,14
16:00.0,1
16:00.0,17
16:00.0,1
17:00.0,16
17:00.0,1
18:00.0,10
18:00.0,1
18:00.0,1
19:00.0,1
19:00.0,1
19:00.0,10
20:00.0,1
20:00.0,10
20:00.0,1
21:00.0,15
21:00.0,1
22:00.0,15
22:00.0,1
22:00.0,1
23:00.0,2
23:00.0,1
23:00.0,14
24:00.0,3
24:00.0,16
24:00.0,1
25:00.0,14
25:00.0,1
25:00.0,1
26:00.0,3
26:00.0,1
26:00.0,11
27:00.0,4
27:00.0,17
27:00.0,1
28:00.0,17
28:00.0,1
28:00.0,1
29:00.0,2
29:00.0,1
29:00.0,20
